,gcn,ggnn,gat,gaan
0,15.980399,20.145587,73.790648,465.268529
1,16.222425,20.918285,74.169302,467.585631
2,16.722347,20.928172,74.473402,468.903786
3,17.136006,22.13123,74.49436,468.91426
4,17.451817,22.269489,74.591087,469.560367
5,17.500965,22.301838,74.637515,469.601493
6,17.593404,22.579285,74.68855,470.304021
7,17.610266,22.815488,74.713028,471.178854
8,17.685427,22.971346,74.82841,471.191716
9,17.786634,23.040779,74.848952,471.228449
10,17.861028,23.054218,74.856535,471.759152
11,17.917886,23.304851,75.032423,472.337468
12,17.944092,23.36731,75.048486,472.523595
13,17.96809,23.393739,75.06906,472.618391
14,17.989144,23.419977,75.105408,472.721945
15,17.994615,23.511201,75.115647,473.313219
16,17.997592,23.565211,75.139389,473.80174
17,18.002071,23.579194,75.217206,473.968711
18,18.008311,23.583674,75.360137,474.326822
19,18.053682,23.62655,75.457472,474.370997
20,18.104493,23.629334,75.522619,474.577199
21,18.105101,24.030898,75.52265,474.603936
22,18.111117,24.465033,75.546169,474.944992
23,18.153897,24.534371,75.577398,475.070197
24,18.173575,24.620795,75.598483,475.189706
25,18.188934,25.163978,75.629969,475.352073
26,18.963455,25.167753,75.687979,475.722727
27,19.123025,25.522794,75.697162,475.794912
28,19.12984,25.574565,75.708361,476.056411
29,19.544746,25.783089,75.737926,476.130549
30,19.731193,26.251495,75.806656,476.325411
31,19.872076,26.513871,75.830334,476.454245
32,19.986402,26.606918,75.840445,476.664707
33,20.068154,27.289672,75.842557,476.671076
34,20.088281,27.632009,75.881114,476.827189
35,20.202414,28.640813,75.936053,476.827765
36,20.479956,28.64254,75.944084,476.961736
37,21.08931,28.712967,76.128963,477.006916
38,21.29073,28.721382,76.503425,477.645611
39,23.91398,28.887447,76.855169,478.134398
40,24.084684,29.263956,76.987157,478.29416
41,24.094667,29.362699,77.089291,478.626449
42,24.125576,29.479232,77.115338,479.682065
43,24.147239,34.260173,77.261532,479.931994
44,24.200481,34.337286,77.800299,481.025636
45,24.327478,34.42227,79.689246,481.159128
46,24.395376,34.422686,80.588237,483.463163
47,24.452235,34.479769,80.889393,495.400056
48,25.423666,34.863894,102.422502,497.884738
49,30.580732,36.675857,116.785096,510.163769
