,8,16,32
0,496.485234,613.009818,940.460671
1,496.823309,614.578218,941.760164
2,496.875976,614.64154,942.159337
3,497.106418,615.539476,943.276602
4,497.307655,615.662151,943.768078
5,497.468977,615.733283,944.572772
6,497.558992,615.794973,945.290019
7,498.161235,617.540988,948.621182
8,498.516562,617.852802,949.166872
9,498.56635,618.346485,949.372176
10,498.725951,618.558338,950.400082
11,498.766907,619.544648,950.672762
12,498.851926,620.489651,951.098004
13,498.985128,620.730044,951.257382
14,499.105375,621.398602,951.672212
15,499.165847,621.455579,952.269321
16,499.244047,621.472632,952.576739
17,499.2629,622.567957,952.949888
18,499.410499,622.605756,953.726842
19,499.570834,622.734342,953.946566
20,499.719236,622.738703,954.454628
21,499.917781,622.741679,955.124315
22,499.956879,622.744015,955.594461
23,500.054758,622.934397,958.786362
24,500.26994,623.114861,959.239716
25,500.4098,623.624798,960.12434
26,500.671694,623.775283,960.220408
27,500.848608,624.001011,961.488932
28,501.235101,624.142672,962.073039
29,501.299799,624.825553,963.855149
30,501.317077,625.986536,963.976706
31,501.318261,626.116508,964.490676
32,501.331793,626.51881,964.635458
33,501.343027,626.557492,968.238422
34,501.407886,626.705353,970.101997
35,501.639352,626.714597,971.460082
36,501.740815,627.078503,971.504878
37,501.863751,627.309953,972.35253
38,501.893473,627.482243,972.516465
39,501.965687,627.503713,973.10006
40,501.972922,628.21264,973.87167
41,501.977786,628.397007,975.210353
42,502.088783,628.504805,976.464874
43,502.885574,628.624314,977.267361
44,503.712219,628.977658,977.572555
45,504.470486,629.156138,979.596755
46,505.546644,629.534309,981.14439
47,525.483228,631.876115,982.160234
48,537.430444,637.007579,984.536785
49,540.921947,650.095307,1004.772978
