,1,2,4,8,16
0,163.834849,208.768609,267.187366,436.498046,804.454303
1,163.926617,212.164944,267.862024,437.169473,806.033503
2,163.985396,212.675518,268.309887,437.353136,809.559118
3,164.095114,212.691233,268.592165,438.619813,810.311416
4,164.114504,212.895945,268.818097,438.78431,810.728659
5,164.154121,212.898249,268.940965,439.200304,810.771599
6,164.17076,212.944425,269.165329,439.43717,811.575206
7,164.187105,213.018814,269.197998,440.012413,811.612898
8,164.247456,213.021086,269.369439,440.205004,811.621427
9,164.322746,213.084696,269.381117,440.321418,811.662095
10,164.529474,213.09375,269.445016,440.424344,811.696122
11,164.555556,213.105942,269.480948,440.622982,812.096423
12,164.708082,213.164145,269.563949,440.674689,812.239816
13,164.755122,213.286533,269.85125,440.930131,812.731004
14,164.801737,213.33383,270.149015,441.053535,812.780887
15,164.84529,213.422393,270.362116,441.174771,813.82001
16,164.849802,213.488883,270.382017,441.50431,813.934222
17,164.926621,213.53442,270.452667,441.525235,813.948973
18,164.947809,213.614631,270.579056,441.97665,815.594824
19,164.989405,213.619527,270.593422,442.08912,816.636009
20,165.055282,213.707871,270.743649,442.622096,816.711654
21,165.090031,213.728828,270.774142,442.628494,816.847478
22,165.21322,213.823124,270.992746,442.747172,817.629199
23,165.297345,213.859346,271.4528,443.059496,818.70318
24,165.309819,213.877808,271.655822,443.733188,819.088685
25,165.332568,213.936367,271.758596,443.77792,820.341847
26,165.354743,213.961677,272.510528,443.792741,820.563907
27,165.433743,213.989866,272.757353,444.11005,821.01635
28,165.44987,214.067582,272.792134,444.137535,821.757238
29,165.535366,214.23016,272.828642,444.538465,823.128348
30,165.557988,214.298025,273.234749,444.730761,823.464734
31,165.668826,214.372419,273.450122,444.952698,825.795113
32,165.704279,214.373511,273.587197,445.010799,825.998871
33,165.71935,214.423006,274.018453,445.306133,826.691896
34,165.756439,214.456731,274.258112,445.379822,826.75317
35,165.785647,214.566161,274.353527,445.429449,828.128752
36,165.816397,214.692325,274.386164,445.717487,828.81071
37,165.84017,214.718019,274.443342,445.725518,829.42169
38,165.937698,214.758079,274.446446,445.815078,829.6593
39,166.007612,214.859414,274.491082,446.296314,829.871125
40,166.090324,215.05274,274.55312,446.311193,830.835704
41,166.115825,215.156512,274.805741,446.491881,831.466207
42,166.171889,215.243315,275.065366,446.628764,831.750949
43,166.463287,215.313004,275.28253,446.630492,832.379564
44,166.501454,215.99611,275.461873,447.153261,832.4633
45,169.898521,216.800613,275.729145,447.22487,833.568814
46,170.298041,217.61817,275.806802,447.335196,833.751055
47,172.328378,221.957903,276.173873,449.113146,834.349768
48,183.029072,236.482759,277.302186,465.025937,847.539324
49,201.232111,256.052742,338.74742,490.582278,855.282381
