,1,2,4,8
0,114.110081,171.75409,284.601907,510.969976
1,114.242772,172.054222,284.6723,511.289146
2,114.334732,172.143622,284.713906,511.411055
3,114.485022,172.146502,284.818527,512.130605
4,114.561751,172.153893,285.130765,512.157131
5,114.568855,172.161829,285.186887,512.224612
6,114.652591,172.171108,285.214373,512.3239
7,114.668558,172.189954,285.214405,512.331803
8,114.688268,172.2511,285.241304,512.610465
9,114.743751,172.258332,285.266912,512.689467
10,114.756774,172.289528,285.269888,513.117747
11,114.759558,172.289624,285.276031,513.342719
12,114.77066,172.306903,285.297491,513.347134
13,114.846013,172.313846,285.41013,513.349763
14,114.847677,172.334164,285.450639,513.378075
15,114.848317,172.363954,285.485484,513.581832
16,114.857276,172.365874,285.488738,513.629162
17,114.898809,172.40507,285.511274,513.699038
18,114.913911,172.405998,285.5673,513.716674
19,114.918071,172.415309,285.568997,513.83813
20,114.939509,172.426637,285.573114,513.882765
21,114.971314,172.429612,285.584771,513.997417
22,114.972593,172.440874,285.614304,514.036255
23,115.049515,172.471369,285.626431,514.056797
24,115.055179,172.476808,285.64083,514.101567
25,115.086983,172.59894,285.667931,514.148027
26,115.117861,172.602332,285.679066,514.251569
27,115.175551,172.612218,285.846123,514.254251
28,115.177631,172.61817,285.881224,514.302695
29,115.207964,172.64044,285.881576,514.463742
30,115.21574,172.66143,285.887655,514.533784
31,115.255416,172.6885,285.899366,514.578867
32,115.258679,172.709394,285.901574,514.720006
33,115.316627,172.729456,285.940387,514.749924
34,115.334417,172.73528,285.99075,514.797759
35,115.405834,172.74392,286.028986,514.808287
36,115.46602,172.769453,286.033177,514.827388
37,115.498082,172.807146,286.078518,514.922356
38,115.539358,172.811017,286.080886,515.091876
39,115.572347,172.826312,286.111602,515.09578
40,115.58969,172.841958,286.150351,515.10682
41,115.693712,172.849606,286.448372,515.241495
42,115.849058,172.865444,286.641538,515.745161
43,116.524004,172.931006,286.829201,515.7985
44,118.523406,172.966363,286.868718,516.679988
45,118.838768,172.966683,287.0575,516.965593
46,119.1437,173.400851,287.276552,541.45463
47,120.220626,173.589218,292.654963,543.023336
48,134.140889,175.152147,325.307233,556.43789
49,147.357857,177.772835,338.91027,623.829133
